id,name,message,story,link,description,created_time,likes,shares,comments
112784955679_10155051526965680,,"GenY, GenZ: Frech, faul, fordernd? Eher nicht! Junge Menschen sind ein wichtiger Treiber für den Kulturwandel in der Arbeitswelt, sagt die Autorin, Speakerin, Beraterin und Hochschuldozentin Dr. Steffi Burkhart.  Stellen Sie jetzt Ihre Fragen und diskutieren Sie - live auf Facebook mit.","ZDF heute was live.",https://www.facebook.com/ZDFheute/videos/10155051526965680/,,Wed Feb 08 13:00:22 CET 2017,317,37,312
112784955679_10155051523015680,"Timeline Photos","Wie lautet ihr Passwort für Facebook? Diese Frage könnte möglicherweise bei der Einreise in die USA künftig gefragt werden. Diese Überlegung äußerte Heimatschutzminister John Kelly bei einer Anhörung. Mehr dazu: http://ly.zdf.de/0oqMf/",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155051523015680/?type=3,,Wed Feb 08 12:49:12 CET 2017,147,215,455
112784955679_10155051489255680,"Russland: Putin-Gegner Nawalny schuldig gesprochen","Ein russisches Gericht hat den Putin-Kritiker Nawalny schuldig gesprochen. Nawalny will bei der Präsidentenwahl 2018 antreten. Sollte er ins Gefängnis müssen, könnte er aber nicht kandidieren.",,http://www.heute.de/putin-gegner-nawalny-schuldig-gesprochen-46504002.html,"In einem neu aufgerollten Prozess um Holz-Diebstahl hat ein russisches Gericht den Oppositionellen Alexej Nawalny schuldig gesprochen.",Wed Feb 08 12:24:06 CET 2017,63,13,109
112784955679_1496035143742062,,"Warum müssen Mami UND Papi arbeiten? Gesellschaftlicher Wandel, gewachsene Ansprüche oder schlichte Notwendigkeit? ZDF heuteplus hat mit einem Arbeitsmarktforscher drüber gesprochen. #DeinD",,https://www.facebook.com/ZDFheute/videos/1496035143742062/,,Wed Feb 08 12:07:00 CET 2017,100,55,80
112784955679_10155051376665680,"Philipp Lahm beendet Profi-Karriere","„Ab Sommer bin ich Privatier“ : Philipp Lahm beendet nach dieser Fußball-Saison seine Karriere bei Bayern München. Highlights einer großartigen Profi-Karriere. Mehr dazu: http://ly.zdf.de/pa8/",,https://www.facebook.com/ZDFheute/videos/10155051376665680/,,Wed Feb 08 11:20:17 CET 2017,352,26,20
112784955679_10155051147780680,"Timeline Photos","GenY, GenZ: Frech, faul, fordernd? Eher nicht! Junge Menschen sind ein wichtiger Treiber für den Kulturwandel in der Arbeitswelt, sagt Dr. Steffi Burkhart Sprachrohr der Generation Y Stellen Sie Ihre Fragen und diskutieren Sie mit. #DeinD",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155051147780680/?type=3,,Wed Feb 08 10:00:04 CET 2017,21,0,18
112784955679_10155051142195680,"Weiter Proteste in Rumänien","Rumänien kommt nicht zur Ruhe : Erneut gingen Tausende gegen die Regierung auf die Straße. Heute muss sich diese im Parlament einem Mißtrauensvotum stellen.",,https://www.facebook.com/ZDFheute/videos/10155051142195680/,,Wed Feb 08 09:23:44 CET 2017,226,31,36
112784955679_10155050965345680,"In Berlin, Hamburg und Stuttgart: Bodenpersonal streikt an Flughäfen","Wegen Warnstreiks des Bodenpersonals haben Reisende am Morgen mit erheblichen Verzögerungen zu kämpfen. Fluggäste sollten sich auf lange Wartezeiten einstellen.",,http://www.heute.de/berlin-hamburg-und-stuttgart-bodenpersonal-streikt-am-8-februar-2017-an-flughaefen-46502480.html,,Wed Feb 08 08:09:00 CET 2017,38,2,13
112784955679_10155050925695680,"Timeline Photos","Wenig Einkommen, kaum Geld für Alltagsdinge - immer mehr Ältere in Deutschland sind davon betroffen.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155050925695680/?type=3,,Wed Feb 08 07:38:21 CET 2017,185,337,278
112784955679_10155050838630680,"USA: Anhörung zum Einreiseverbot wird zum Hörspiel-Hit","Justizkrimi um Donald Trumps Einreisestopp: Zwei Anwälte, drei Richter und eine landesweite Übertragung des Telefonats. Spannend wie ein Krimi. Eine Entscheidung steht noch aus.",,http://www.heute.de/usa-berufungsgericht-prueft-argumente-zu-donald-trumps-einreisebann-entscheidung-im-verlauf-der-woche-zu-erwarten-46501948.html,,Wed Feb 08 06:51:26 CET 2017,98,12,21
112784955679_10155050775600680,"ZDF zoom","Russische Agenten als Asylbewerber getarnt in Deutschland? Bei den Kollegen von ZDF zoom berichtet ein ehemaliger Geheimdienst-Offizier. Was er zu sagen hat, sehen Sie heute um 22.45 Uhr „Putins Kalter Krieg“.","ZDF heute shared ZDF zoom's video.",https://www.facebook.com/ZDFzoom/videos/1156379031147543/,"Hat der russische Geheimdienst FSB  jahrelang Agenten als Asylbewerber getarnt  nach Deutschland geschleust? In ZDFzoom berichtet ein ehemaliger, hoher russischer Geheimdienst-Offizier. Was er zu sagen hat, sehen Sie morgen um 22.45 Uhr „Putins Kalter Krieg“.",Wed Feb 08 06:17:41 CET 2017,66,0,138
112784955679_10155049932605680,"Bayern-Kapitän Lahm beendet Karriere im Sommer","Philipp Lahm hört auf mit Fußball - und will ab Sommer erst einmal ''Privatier'' sein.",,https://www.zdf.de/sport/bayern-muenchen-philipp-lahm-100.html,"Bayern Münchens Kapitän Philipp Lahm beendet nach dieser Saison seine Fußball-Karriere. Er stehe danach auch nicht für den Posten des Sportdirektors bei dem deutschen Rekordmeister zur Verfügung.",Tue Feb 07 23:50:15 CET 2017,295,15,48
112784955679_10155049774960680,"ZDF heuteplus",,"ZDF heute shared ZDF heuteplus's live video.",https://www.facebook.com/heuteplus/videos/1495433317135578/,"ZDF heuteplus mit Daniel Bröckerhoff. Heute kennen wir nur ein Thema: Gesundheit. Klingt langweilig? Dann guckt mal rein!",Tue Feb 07 23:01:40 CET 2017,44,0,5
112784955679_10155049454615680,"Timeline Photos","Jedes Jahr sterben deutschlandweit schätzungsweise zwischen 110.000 und 140.000 Menschen an den Folgen des Rauchens (DKFZ). #DeinD",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155049454615680/?type=3,,Tue Feb 07 21:35:02 CET 2017,131,92,213
112784955679_1495379300474313,,"„Großer Skandal im Gesundheitswesen“. Sagt nicht irgendwer, sondern der Chef der Techniker Krankenkasse. Was ist da los? Unsere ZDF heuteplus-Reporterin hat sich das für unsere Serie #DeinD näher angesehen.",,https://www.facebook.com/ZDFheute/videos/1495379300474313/,,Tue Feb 07 21:22:36 CET 2017,28,39,16
112784955679_10155049374390680,"Polio","Der weltweite Kampf gegen Polio dauert an. Die Weltgesundheitsorganisation (WHO) setzt seit Jahren alles daran, die Kinderlähmung (Poliomyelitis) rund um den Globus zu besiegen.",,https://www.facebook.com/ZDFheute/videos/10155049374390680/,,Tue Feb 07 21:15:00 CET 2017,136,35,31
112784955679_10155049424285680,,"Brauchen wir mehr #Videoüberwachung auf öffentlichen Plätzen? Schützen die so gesammelten Bilder vor Kriminalität? Diskussion auch bei uns.",,https://www.facebook.com/ZDFheute/videos/10155049424285680/,,Tue Feb 07 21:02:00 CET 2017,135,16,102
112784955679_10155049324615680,"Timeline Photos","Ein Kunstprojekt vor der Dresdner Frauenkirche prangert den Krieg in Syrien an. ''Pegida''-Anhänger protestieren lautstark, doch zahlreiche Sympathisanten des ''Monuments'' halten dagegen.",,https://www.facebook.com/ZDFheute/photos/a.275406990679.144521.112784955679/10155049324615680/?type=3,,Tue Feb 07 20:30:01 CET 2017,2962,698,775
112784955679_1495301500482093,"Patienten nur noch Kostenfaktoren, Kliniken reine Wirtschaftsb...","Jana Langers Brief an die Bundeskanzlerin wurde auf Facebook zehntausendfach geteilt. Patienten nur noch Kostenfaktoren, Kliniken reine Wirtschaftsbetriebe - die Krankenschwester schlägt Alarm. ZDF heuteplus hat sie getroffen. #DeinD",,https://www.facebook.com/ZDFheute/videos/1495301500482093/,,Tue Feb 07 19:49:04 CET 2017,909,1340,92
112784955679_10155049143390680,"Bist du nur traurig oder schon krank?","Bist du nur traurig oder schon krank? Der Youtuber Andre Teilzeit spricht auf seinem Kanal ganz offen über das Tabuthema Depression. In unserer Rubrik „Frag mich alles!“ haben wir Andre Teilzeit Fragen gestellt, die man sich sonst nicht unbedingt zu stellen traut. #DeinD",,https://www.facebook.com/ZDFheute/videos/10155049143390680/,,Tue Feb 07 19:17:50 CET 2017,328,130,28
112784955679_10155049001030680,"PK nach BER-Aufsichtsrat-Sitzung","JETZT LIVE+++ Pressekonferenz nach Sondersitzung der Aufsichtsräte des Hauptstadtflughafens BER. Fragen an ZDF-Reporter Carsten Behrendt?","ZDF heute was live.",https://www.facebook.com/ZDFheute/videos/10155049001030680/,,Tue Feb 07 19:10:03 CET 2017,266,55,1046
